displayName,commonName,sciName,speciesCode,category,reportAsSpeciesCode,reportAsCategory,showSpeciesPageLink
Bearded Vulture,Bearded Vulture,Gypaetus barbatus,lammer1,species,lammer1,species,True
Egyptian Vulture,Egyptian Vulture,Neophron percnopterus,egyvul1,species,egyvul1,species,True
European Honey-buzzard,European Honey-buzzard,Pernis apivorus,euhbuz1,species,euhbuz1,species,True
Cinereous Vulture,Cinereous Vulture,Aegypius monachus,cinvul1,species,cinvul1,species,True
White-backed Vulture,White-backed Vulture,Gyps africanus,whbvul1,species,whbvul1,species,True
Rüppell's Griffon,Rüppell's Griffon,Gyps rueppelli,ruegri1,species,ruegri1,species,True
Eurasian Griffon,Eurasian Griffon,Gyps fulvus,eurgri1,species,eurgri1,species,True
old world vulture sp.,old world vulture sp.,Accipitridae sp. (old world vulture sp.),olwvul1,spuh,olwvul1,spuh,False
Bateleur,Bateleur,Terathopius ecaudatus,batele1,species,batele1,species,True
Short-toed Snake-Eagle,Short-toed Snake-Eagle,Circaetus gallicus,shteag1,species,shteag1,species,True
Lesser Spotted Eagle,Lesser Spotted Eagle,Clanga pomarina,leseag1,species,leseag1,species,True
Greater Spotted Eagle,Greater Spotted Eagle,Clanga clanga,grseag1,species,grseag1,species,True
Lesser x Greater Spotted Eagle (hybrid),Lesser x Greater Spotted Eagle (hybrid),Clanga pomarina x clanga,x00843,hybrid,x00843,hybrid,False
Lesser/Greater Spotted Eagle,Lesser/Greater Spotted Eagle,Clanga pomarina/clanga,y00718,slash,y00718,slash,False
Booted Eagle,Booted Eagle,Hieraaetus pennatus,booeag1,species,booeag1,species,True
Steppe Eagle,Steppe Eagle,Aquila nipalensis,steeag1,species,steeag1,species,True
Spanish Eagle,Spanish Eagle,Aquila adalberti,spaeag1,species,spaeag1,species,True
Golden Eagle,Golden Eagle,Aquila chrysaetos,goleag,species,goleag,species,True
Bonelli's Eagle,Bonelli's Eagle,Aquila fasciata,boneag2,species,boneag2,species,True
Aquila sp.,Aquila sp.,Aquila sp.,aquila1,spuh,aquila1,spuh,False
Eurasian Marsh-Harrier,Eurasian Marsh-Harrier,Circus aeruginosus,wemhar1,species,wemhar1,species,True
Hen Harrier,Hen Harrier,Circus cyaneus,norhar1,species,norhar1,species,True
Pallid Harrier,Pallid Harrier,Circus macrourus,palhar1,species,palhar1,species,True
Montagu's Harrier,Montagu's Harrier,Circus pygargus,monhar1,species,monhar1,species,True
Hen/Montagu's Harrier,Hen/Montagu's Harrier,Circus cyaneus/pygargus,y00840,slash,y00840,slash,False
harrier sp.,harrier sp.,Circus sp.,harrie1,spuh,harrie1,spuh,False
Eurasian Sparrowhawk,Eurasian Sparrowhawk,Accipiter nisus,eurspa1,species,eurspa1,species,True
Northern Goshawk,Northern Goshawk,Accipiter gentilis,norgos,species,norgos,species,True
Accipiter sp.,Accipiter sp.,Accipiter sp.,accipi,spuh,accipi,spuh,False
Red Kite,Red Kite,Milvus milvus,redkit1,species,redkit1,species,True
Black Kite,Black Kite,Milvus migrans,blakit1,species,blakit1,species,True
Red/Black Kite,Red/Black Kite,Milvus milvus/migrans,y00611,slash,y00611,slash,False
White-tailed Eagle,White-tailed Eagle,Haliaeetus albicilla,whteag,species,whteag,species,True
Harris's Hawk,Harris's Hawk,Parabuteo unicinctus,hrshaw,species,hrshaw,species,True
Common Buzzard,Common Buzzard,Buteo buteo,combuz1,species,combuz1,species,True
Long-legged Buzzard,Long-legged Buzzard,Buteo rufinus,lolbuz1,species,lolbuz1,species,True
Common x Long-legged Buzzard (hybrid),Common x Long-legged Buzzard (hybrid),Buteo buteo x rufinus,x00766,hybrid,x00766,hybrid,False
